event,time,src,dst,packetName,srcPort,dstPort,pktLen
1650,24.3149,10.1.0.21,10.1.0.42,attack,9003,9002,100
1651,24.3152,10.1.0.11,10.1.0.42,attack,9003,9002,100
1652,24.3161,10.1.0.21,10.1.0.42,attack,9003,9002,100
1653,24.3165,10.1.0.21,10.1.0.42,attack,9003,9002,100
1654,24.3176,10.1.0.11,10.1.0.42,attack,9003,9002,100
1655,24.3186,10.1.0.11,10.1.0.42,attack,9003,9002,100
1656,24.3204,10.1.0.11,10.1.0.42,attack,9003,9002,100
1657,24.3221,10.1.0.21,10.1.0.42,attack,9003,9002,100
1658,24.3224,10.1.0.11,10.1.0.42,attack,9003,9002,100
1659,24.3229,10.1.0.21,10.1.0.42,attack,9003,9002,100
1660,24.3232,10.1.0.11,10.1.0.42,attack,9003,9002,100
1661,24.3242,10.1.0.11,10.1.0.42,attack,9003,9002,100
1662,24.3251,10.1.0.11,10.1.0.42,attack,9003,9002,100
1663,24.326,10.1.0.11,10.1.0.42,attack,9003,9002,100
1664,24.329,10.1.0.21,10.1.0.42,attack,9003,9002,100
1665,24.3292,10.1.0.11,10.1.0.42,attack,9003,9002,100
1666,24.3302,10.1.0.11,10.1.0.42,attack,9003,9002,100
1667,24.3304,10.1.0.11,10.1.0.42,attack,9003,9002,100
1668,24.3315,10.1.0.11,10.1.0.42,attack,9003,9002,100
1669,24.4008,10.1.0.21,10.1.0.42,attack,9003,9002,100
1670,24.4013,10.1.0.21,10.1.0.42,attack,9003,9002,100
1671,24.4018,10.1.0.21,10.1.0.42,attack,9003,9002,100
1672,24.4021,10.1.0.21,10.1.0.42,attack,9003,9002,100
1673,24.4024,10.1.0.21,10.1.0.42,attack,9003,9002,100
1674,24.4027,10.1.0.21,10.1.0.42,attack,9003,9002,100
1675,24.4031,10.1.0.21,10.1.0.42,attack,9003,9002,100
1676,24.4035,10.1.0.21,10.1.0.42,attack,9003,9002,100
1677,24.4044,10.1.0.21,10.1.0.42,attack,9003,9002,100
1678,24.4047,10.1.0.21,10.1.0.42,attack,9003,9002,100
1679,24.4052,10.1.0.11,10.1.0.42,attack,9003,9002,100
1680,24.4056,10.1.0.21,10.1.0.42,attack,9003,9002,100
1681,24.406,10.1.0.21,10.1.0.42,attack,9003,9002,100
1682,24.4068,10.1.0.11,10.1.0.42,attack,9003,9002,100
1683,24.4075,10.1.0.21,10.1.0.42,attack,9003,9002,100
1684,24.408,10.1.0.11,10.1.0.42,attack,9003,9002,100
1685,24.4087,10.1.0.21,10.1.0.42,attack,9003,9002,100
1686,24.4099,10.1.0.11,10.1.0.42,attack,9003,9002,100
1687,24.4105,10.1.0.11,10.1.0.42,attack,9003,9002,100
1688,24.4128,10.1.0.11,10.1.0.42,attack,9003,9002,100
1689,24.4139,10.1.0.11,10.1.0.42,attack,9003,9002,100
1690,24.417,10.1.0.11,10.1.0.42,attack,9003,9002,100
1691,24.4173,10.1.0.11,10.1.0.42,attack,9003,9002,100
1692,24.4181,10.1.0.11,10.1.0.42,attack,9003,9002,100
1693,24.4184,10.1.0.11,10.1.0.42,attack,9003,9002,100
1694,24.4197,10.1.0.11,10.1.0.42,attack,9003,9002,100
1695,24.4201,10.1.0.21,10.1.0.42,attack,9003,9002,100
1696,24.4207,10.1.0.11,10.1.0.42,attack,9003,9002,100
1697,24.4221,10.1.0.21,10.1.0.42,attack,9003,9002,100
1698,24.4228,10.1.0.21,10.1.0.42,attack,9003,9002,100
1699,24.4241,10.1.0.21,10.1.0.42,attack,9003,9002,100
1700,24.4244,10.1.0.21,10.1.0.42,attack,9003,9002,100
1701,24.4254,10.1.0.21,10.1.0.42,attack,9003,9002,100
1702,24.4274,10.1.0.11,10.1.0.42,attack,9003,9002,100
1703,24.4277,10.1.0.11,10.1.0.42,attack,9003,9002,100
1704,24.428,10.1.0.11,10.1.0.42,attack,9003,9002,100
