event,time,src,dst,packetName,srcPort,dstPort,pktLen
3657,30.9111,10.1.0.1,10.1.0.42,attack,9003,9002,100
3658,30.9115,10.1.0.1,10.1.0.42,attack,9003,9002,100
3659,30.9119,10.1.0.1,10.1.0.42,attack,9003,9002,100
3660,30.9124,10.1.0.1,10.1.0.42,attack,9003,9002,100
3661,30.9128,10.1.0.1,10.1.0.42,attack,9003,9002,100
3662,30.9133,10.1.0.1,10.1.0.42,attack,9003,9002,100
3663,30.9135,10.1.0.1,10.1.0.42,attack,9003,9002,100
3664,30.9138,10.1.0.1,10.1.0.42,attack,9003,9002,100
3665,30.9142,10.1.0.1,10.1.0.42,attack,9003,9002,100
3666,30.9147,10.1.0.1,10.1.0.42,attack,9003,9002,100
3667,30.9151,10.1.0.1,10.1.0.42,attack,9003,9002,100
3668,30.9155,10.1.0.1,10.1.0.42,attack,9003,9002,100
3669,30.9158,10.1.0.1,10.1.0.42,attack,9003,9002,100
3670,30.9162,10.1.0.1,10.1.0.42,attack,9003,9002,100
3671,30.9166,10.1.0.1,10.1.0.42,attack,9003,9002,100
3672,30.917,10.1.0.1,10.1.0.42,attack,9003,9002,100
3673,30.9172,10.1.0.1,10.1.0.42,attack,9003,9002,100
3674,30.9201,10.1.0.28,10.1.0.42,normal,9001,9002,100
